English Word	English Sentence
Change	Climate is changing rapidly.
Change	He has changed the data base without an authorization. 
Alternative	I am afraid there is no other alternative. 
Affect	The crisis merely affected this country. 
To take the place of	Nothing can take the place of a teacher. 
Replace	They have replaced the faulty parts of the car. 
Permanent	A permanent attention is necessary to succeed in this job.
Temporary	This is only a temporary situation. 
To take back	He took his present back. 
Resume	He resumed his studies after a four-year break.
Continuous	Continuous work finally bore fruit. 
Continuous	An ongoing degradation of working conditions has been observed. 
Process	The entire fabrication process belongs to the same company. 
Delay	The delay of the project is starting to be worrying.
Need (name)	He needs money all the time.
Need (verb)	Did he really need to buy that car ?
Need	Working is a need.
Require	This site has required a significant amount of work. 
Requirement	It is impossible to satisfy my boss's requirements. 
Inevitable	The bankruptcy of the company was inevitable. 
Essential	This man is essential to the smooth functionning of the company. 
Involuntary	My move was completely involuntary. 
Tenacious	She is tenacious, she will not give up easily. 
Be expected	They are expected to solve this problem quickly. 
Intention	I do not know what his intentions are.
Proposal	I have got a proposal for you. 
Examine	They have examined a situation together. 
Give up	He did not give up on his ambitions.
To study	He is studying for this selective exam as  best he can. 
Prepare	They have prepared the room for hours.
To throw a party	They are throwing a party next week. 
To experience	He experienced a lot of things in his life.
Experience	He is experienced on the subject.
Experienced	We are looking for an experienced perosn for this job.
Inexperienced	It was obvious that he was inexperienced. 
Design	They have designed a new car.
Unable	He is unable to focus more than five minutes.
Capable	He is capable of not eating for days.
Inability	He has proved his inability to handle critical situations.
Ability	We all have unsuspected abilities.
Methodical	A methodical approach is essential to understand the situation. 
Process	The process of the manufacture of this product is not yet finalized.
Way	I do not like his way of doing it. 
Practice	He only needs more practice.
Training	His training allowed him to adjust to the new situation. 
Training	The training of the pilotes was apparently inadequate. 
Available	I am available to start work now. 
Unavailable	This product is unavailable for now. 
Occasionally	He occasionally takes holidays without a warning. 
Chance	You have to jump at the chance and accept the job.
From time to time	I take the bus from time to time.
Do	He did great things. 
Action	No action has been taken as of now. 
Undertake	They undertook to tour around South America. 
Occupied	I am too busy to meet you these days. 
Avoid	I took this way to avoid the trafic jam.
Spread	The news has spread very quickly.
Exhausted	They have exhausted the natural ressources of this country.
Do without	She cannot do without coffee. 
Advantage	The advantage of this website is that it is free. 
Disadvantage	The major disadvantage of this project is that it does not make money. 
Advantageous	This bank which offers the most attractive plan.
Disadvantageous	This situation is disadvantageous for me. 
Asset	Mastering languages is a major asset whatever area of work. 
Effort	Her efforts have been rewarded. 
Difficulty	You have to put the difficulty of work into perspective. 
Angel	An angel appeared to him in his dream. 
Crucifix	He had a crucifix around his neck. 
Devil	He does not believe in the Devil. 
Goddess	Artemis is the Greek goddess of hunting.
Virgin Mary	He says he saw the Virgin Mary.
Trinity	This triangle represents the holy trinity.
Catholic	They are practicing Catholics.
Catholicism	Catholicism is one of the branches of Christianism. 
Protestant	Protestants have been slaughtered during the Saint Bartholomew's massacre. 
Protestantism	Protestantism declined due to an intense repression. 
Hindu	Hindus represent the major part of the Indian population. 
Hinduism	A lot of people do not consider Hinduism to be a proper religion. 
Baptize	He has not been baptized. 
Godfather	He is the godfather of my children. 
Godmother	Their godmother spoiled them with presents. 
Godson	The godmother sees her grandsons from time to time. 
Goddaughter	She has one godson and two goddaughters. 
Cremation	The cremation only lasted for for a few minutes. 
Grave	He visited his parents grave to pay his respects.
Rite	The funeral rites have lasted for the whole night. 
To mourn	We do not seem to properly mourn our father. 
Reincarnation	Buddhists believe in reincarnation. 
Bells	It is noon, bells are ringing.
Easter	He went away for the Easter holidays.
Good Friday	Good Friday is a bank holiday.
Bless	He has been blessed by the Pope himself.
Blasphemy	Blasphemy is punished by death in this country. 
Charity	He gave him a coin out of pure charity. 
Holy water	Do not drink holy water. 
Heresy	This priest has been accused of heresy. 
Incense	They burned incense. 
Sermon	The assembly was slowly falling asleep while listening to the sermon.
Rosary	The rosary is a Catholic prayer. 
Mandala	This sand-made mandala took days to make.
Minaret	You can see the entire town from the top of the minaret. 
Halo	Saints are often represented with halos. 
Pyre	Thousands of women have died on pyres. 
Sacrifice	Animal sacrifices were often practiced. 
Religion	Religion is a serious matter here. 
Religious	Tension is rising between the two religious communities.
Christian	Both his parents are christians. 
Jewish	He is Jewish because his mother is Jewish.
Muslim	Only Muslims can go in that part of the mosque. 
Buddhist	Buddhists believe in reincarnation. 
Animist	Animists believe in the existence of spirits.
Buddhism	Buddhism has nearly disappeared from this country.
Christianity	Christianism has spread due to the European colonization.
Islam	Islam is very widespread in Asia and in Africa. 
Judaism	Judaism is one of the oldest monotheistic religion.
Pray	She prays every day before going to bed.
Prayer	Her prayers have not been heard.
Meditate	She meditates every day at 5 a.m.
Meditation	Meditation is a daily practice of this philosophy.
Archbishop	The Archbishop of Canterbury will attend the ceremony.
Atheistic	He comes from an Atheistic family.
Bible	He has never read the Bible. 
Koran	It took him two years to read the Koran.
Cardinal	The Cardinal Richelieu was very influential.
Chapel	This big family has a private chapel. 
Imam	The imam has declared foreworks haram. 
Religion	Freedom of religion is not respected in this country. 
Clergy	The population rebelled against the clergy.
Hell	He does not believe in Hell. 
Heaven	He thinks he is going to Heaven, not to Hell.
Miracle	She performs miracles. 
Faith	Once, he had faith, now he has lost it.
Believer	He is a real believer.
Demon	A demon took over his body.
Synagogue	He goes to the synagogue from time to time.
Pilgrim	Pilgrims have walked for weeks. 
Pope	The Pope gives audience in the morning.
Sin	The original sin does not exist in this religion. 
Saint	In that branch of Islam, saints are venerated. 
Rabbi	Not a lot of women are women. 
Sura	He is learning the cow sura. 
Temptation	Temptation was too strong, he gave in.
Cross	The believer knelt before the cross. 
Muezzin	The muezzin calls the worshippers to the prayer. 
To become	He converted to Judaism to be able to marry his wife. 
Conversion	His conversion to Islam was the origin of numerous arguments. 
Baptism	Her brothers were here for her baptism.
Soul	In some religions, the soul is immortal. 
Communion	He is going to do his First Communion soon. 
Ablution	He is doing his ablutions every morning. 
Offering	He has made an offering to the gods. 
Gods	He is afraid of the wrath of gods. 
Deity	This people worship numerous deities. 
Spirit	He does not believe in spirits. 
Medicine	Chinese medicine has a millenia-long history. 
Biology	He interrupted his biology studies. 
Physical	He has a PhD in nuclear physics. 
Chemistry	He does not like chemistry. 
Mathematics	She hates mathematics. 
Law	He is in first year of law school. 
Linguistics	He is a professor of linguistics at the Sorbonne. 
